HR,COLOR,VMAG,GLON,GLAT
255,ffffffff,1,54.83,-71.6
256,ffffffff,1,56.45,-14.19
257,ffffffff,1,-122.51,-54.25
258,ffffffff,1,56.03,-39.24
259,ffffffff,1,55.97,-38.31
260,ffffffff,1,56.43,-4.87
261,ffffffff,1,56.57,5.91
262,ffffffff,1,55.83,-35.65
263,ffffffff,1,53.94,-70.19
264,ffffffff,1,56.42,-2.15
265,ffffffff,1,56.4,-3.68
266,ffffffff,1,56.41,-2.5
267,ffffffff,1,52.96,-74.1
268,ffffffff,1,-66.23,-88.81
269,ffffffff,1,55.93,-24.36
270,ffffffff,1,-122.47,-47.6
271,ffffffff,1,55.35,-39.43
272,ffffffff,1,55.93,-17.02
273,ffffffff,1,56.36,3.49
274,ffffffff,1,55.38,-33.86
275,ffffffff,1,55.46,-28.9
276,ffffffff,1,54.66,-49.15
277,ffffffff,1,54.93,-41.44
278,ffffffff,1,56.32,8.12
279,ffffffff,1,50.51,-74.16
280,ffffffff,1,-88.05,-87.27
281,ffffffff,1,-121.4,-56.41
282,ffffffff,1,55.46,-18.13
283,ffffffff,1,55.46,-18.13
284,ffffffff,1,53.31,-56.33
285,ffffffff,1,56.76,23.4
286,ffffffff,1,56.87,26.16
287,ffffffff,1,55.32,-11.8
288,ffffffff,1,-113.64,-78.03
289,ffffffff,1,55.03,-15.45
290,ffffffff,1,54.76,-21.47
291,ffffffff,1,54.25,-31
292,ffffffff,1,55.6,-1.76
293,ffffffff,1,-95.15,-84.97
294,ffffffff,1,52.11,-54.87
295,ffffffff,1,-120.04,-60.07
296,ffffffff,1,49.48,-67.54
297,ffffffff,1,55.53,-1.25
298,ffffffff,1,55.12,-10.32
299,ffffffff,1,-117.02,-70.6
300,ffffffff,1,-76.19,-86.46
301,ffffffff,1,50.61,-61.35
302,ffffffff,1,54.92,-11.81
303,ffffffff,1,53.69,-33.13
304,ffffffff,1,-121.05,-51.63
305,ffffffff,1,54.33,-22.81
306,ffffffff,1,56.73,24.29
307,ffffffff,1,50.91,-57.05
308,ffffffff,1,52.16,-47.8
309,ffffffff,1,55.36,-0.06
310,ffffffff,1,52.66,-41.28
311,ffffffff,1,52.65,-41.28
312,ffffffff,1,56.26,17.17
313,ffffffff,1,50.34,-57.77
314,ffffffff,1,50.32,-57.77
315,ffffffff,1,45.37,-72.53
316,ffffffff,1,54.94,-5.87
317,ffffffff,1,45.08,-72.37
318,ffffffff,1,54.7,-9.3
319,ffffffff,1,51.36,-49.75
320,ffffffff,1,9.69,-85.44
321,ffffffff,1,54.68,-7.85
322,ffffffff,1,-115.51,-70.2
323,ffffffff,1,-103.32,-80.89
324,ffffffff,1,53.92,-18.83
325,ffffffff,1,7.57,-85.26
326,ffffffff,1,54.81,-4.53
327,ffffffff,1,52.98,-30.73
328,ffffffff,1,51.87,-41.96
329,ffffffff,1,43.78,-72.24
330,ffffffff,1,49.32,-56.96
331,ffffffff,1,-110.82,-75.25
332,ffffffff,1,-119.64,-55.25
333,ffffffff,1,56.09,16.84
334,ffffffff,1,42.85,-72.58
335,ffffffff,1,53.89,-15.52
336,ffffffff,1,55.32,5.97
337,ffffffff,1,52.9,-27.1
338,ffffffff,1,-117.83,-61.71
339,ffffffff,1,51.15,-43
340,ffffffff,1,53.33,-20.65
341,ffffffff,1,51.71,-37.22
342,ffffffff,1,54.9,1.42
343,ffffffff,1,54.24,-7.61
344,ffffffff,1,50.45,-46.96
345,ffffffff,1,54.93,2.23
346,ffffffff,1,42.52,-71.25
347,ffffffff,1,47.46,-60.07
348,ffffffff,1,52.76,-24.98
349,ffffffff,1,52.16,-31.26
350,ffffffff,1,-118.05,-59.26
351,ffffffff,1,50.82,-41.59
352,ffffffff,1,51.88,-32.58
353,ffffffff,1,45.16,-64.65
354,ffffffff,1,54.5,-1.06
355,ffffffff,1,53.18,-17.37
356,ffffffff,1,51.53,-32.58
357,ffffffff,1,55.92,17.09
358,ffffffff,1,-72.89,-84.13
359,ffffffff,1,-101.6,-78.37
360,ffffffff,1,50.63,-38.01
361,ffffffff,1,47.44,-54.88
362,ffffffff,1,47.43,-54.87
363,ffffffff,1,51.06,-34.08
364,ffffffff,1,49.16,-46.39
365,ffffffff,1,55.11,8.97
366,ffffffff,1,40.2,-70.04
367,ffffffff,1,46.86,-55.41
368,ffffffff,1,43.99,-63.25
369,ffffffff,1,52.76,-14.58
370,ffffffff,1,-110.1,-71
371,ffffffff,1,51.09,-29.47
372,ffffffff,1,52.3,-17.73
373,ffffffff,1,42.25,-64.64
374,ffffffff,1,50.64,-30.8
375,ffffffff,1,55.46,14.79
376,ffffffff,1,52.39,-15.21
377,ffffffff,1,-119.66,-48.1
378,ffffffff,1,44.37,-58.61
379,ffffffff,1,51.07,-25.17
380,ffffffff,1,-118.9,-50.53
381,ffffffff,1,55.21,13.48
382,ffffffff,1,53.29,-4.43
383,ffffffff,1,49.44,-35.19
384,ffffffff,1,53.9,1.97
385,ffffffff,1,41.55,-62.52
386,ffffffff,1,55.43,15.96
387,ffffffff,1,39.55,-65.12
388,ffffffff,1,32.43,-72.71
389,ffffffff,1,49.25,-33.68
390,ffffffff,1,51.42,-17
391,ffffffff,1,52.86,-4.47
392,ffffffff,1,41.25,-60.18
393,ffffffff,1,40.13,-62.29
394,ffffffff,1,13.87,-79.24
395,ffffffff,1,50.06,-24.72
396,ffffffff,1,49.53,-28.16
397,ffffffff,1,47.01,-41.78
398,ffffffff,1,54.25,8.3
399,ffffffff,1,53.85,5.47
400,ffffffff,1,-63.4,-82.02
401,ffffffff,1,33.58,-69.38
402,ffffffff,1,33.41,-69.54
403,ffffffff,1,52.81,-2.35
404,ffffffff,1,34.45,-68.33
405,ffffffff,1,21.46,-76.18
406,ffffffff,1,37.44,-64.44
407,ffffffff,1,47.02,-38.69
408,ffffffff,1,-99.66,-74.1
409,ffffffff,1,50.39,-18.96
410,ffffffff,1,49,-27.75
411,ffffffff,1,-104.11,-71.36
412,ffffffff,1,22.93,-75.16
413,ffffffff,1,45.81,-42.94
414,ffffffff,1,45.69,-42.85
415,ffffffff,1,48.75,-27.92
416,ffffffff,1,38.17,-61.98
417,ffffffff,1,50.44,-17
418,ffffffff,1,49.8,-21.26
419,ffffffff,1,40.12,-58.16
420,ffffffff,1,-116.98,-52.37
421,ffffffff,1,24.84,-73.67
422,ffffffff,1,49.61,-22.01
423,ffffffff,1,-70.18,-80.59
424,ff0000ff,1,56.72,26.46
425,ffffffff,1,27.56,-71.66
426,ffffffff,1,41.46,-53.79
427,ffffffff,1,53.7,7.65
428,ffffffff,1,53.08,3.53
429,ffffffff,1,-100.52,-72.17
430,ffffffff,1,50.25,-15.35
431,ffffffff,1,-74.77,-79.59
432,ffffffff,1,44.44,-43.57
433,ffffffff,1,-2.65,-79.72
434,ffffffff,1,39.93,-55.43
435,ffffffff,1,-104.52,-68.99
436,ffffffff,1,-29.1,-81.25
437,ffffffff,1,42.99,-46.43
438,ffffffff,1,47.67,-27.33
439,ffffffff,1,51.56,-4.09
440,ffffffff,1,-106.27,-66.75
441,ffffffff,1,-54.96,-80.63
442,ffffffff,1,51.65,-3.19
443,ffffffff,1,-102.11,-69.89
444,ffffffff,1,26.62,-69.39
445,ffffffff,1,-83.48,-76.89
446,ffffffff,1,47.68,-24.85
447,ffffffff,1,-106.4,-66.06
448,ffffffff,1,28.63,-67.53
449,ffffffff,1,53.91,11.71
450,ffffffff,1,42.89,-43.21
451,ffffffff,1,13.68,-74.78
452,ffffffff,1,48.12,-21.02
453,ffffffff,1,-62.3,-79.43
454,ffffffff,1,49.46,-13.48
455,ffffffff,1,41.29,-46.85
456,ffffffff,1,53.6,10.49
457,ffffffff,1,42.21,-44.15
458,ffffffff,1,48,-20.66
459,ffffffff,1,13.39,-74.36
460,ffffffff,1,-112.01,-58.05
461,ffffffff,1,50.89,-4.33
462,ffffffff,1,-51.37,-79.8
463,ffffffff,1,39.84,-49.2
464,ffffffff,1,49.19,-13.53
465,ffffffff,1,48.47,-16.68
466,ffffffff,1,23.3,-69.19
467,ffffffff,1,-120.26,-38.41
468,ffffffff,1,-111.74,-57.86
469,ffffffff,1,48.11,-17.65
470,ffffffff,1,49.84,-8.32
471,ffffffff,1,-79.18,-76.31
472,ffffffff,1,-110.84,-58.79
473,ffffffff,1,-7.04,-77.72
474,ffffffff,1,-24.39,-79.16
475,ffffffff,1,40.63,-44.92
476,ffffffff,1,47.65,-18.67
477,ffffffff,1,47.08,-21.34
478,ffffffff,1,52.32,5.64
479,ffffffff,1,-107.7,-62.27
480,ffffffff,1,52.79,8.18
481,ffffffff,1,50.98,-1.23
482,ffffffff,1,50.48,-3.59
483,ffffffff,1,47.3,-19.3
484,ffffffff,1,43.2,-35.78
485,ffffffff,1,44.31,-31.58
486,ffffffff,1,-109.6,-59.66
487,ffffffff,1,-109.6,-59.66
488,ffffffff,1,50.94,-0.84
489,ffffffff,1,34.88,-55.22
490,ffffffff,1,45.54,-26.49
491,ffffffff,1,50.73,-1.68
492,ffffffff,1,17.86,-70.26
493,ffffffff,1,41.12,-41.01
494,ffffffff,1,-82.44,-74.8
495,ffffffff,1,47.6,-16.59
496,ffffffff,1,48.68,-11.33
497,ffffffff,1,-61.27,-77.84
498,ffffffff,1,-78.27,-75.56
499,ffffffff,1,50,-4.61
500,ffffffff,1,27.25,-63.55
501,ffffffff,1,-103.51,-65.15
502,ffffffff,1,49.84,-5.03
503,ffffffff,1,44.35,-29.38
504,ffffffff,1,47.57,-15.75
505,ffffffff,1,-112.17,-55.27
506,ffffffff,1,-106.9,-61.77
507,ffffffff,1,25.53,-64.37
508,ffffffff,1,40.33,-41.04
509,ffffffff,1,6.81,-73.43
510,ffffffff,1,35.39,-51.43
511,ffffffff,1,50.92,1.66
512,ffffffff,1,-121.23,-34
513,ffffffff,1,23.39,-64.97
514,ffffffff,1,-26.28,-77.66
515,ffffffff,1,38.8,-43.49
516,ffffffff,1,-119.99,-37.69
517,ffffffff,1,-37.1,-77.87
518,ffffffff,1,47,-15.54
519,ffffffff,1,-102.92,-64.14
520,ffffffff,1,-105.68,-61.74
521,ffffffff,1,44.8,-23.55
522,ffffffff,1,38.11,-43.82
523,ffffffff,1,43.35,-28.66
524,ffffffff,1,-88.52,-71.43
525,ffffffff,1,-121.7,-32.25
526,ffffffff,1,47.14,-13.86
527,ffffffff,1,30.83,-56.25
528,ffffffff,1,-76.59,-74.45
529,ffffffff,1,47.82,-9.87
530,ffffffff,1,39.61,-38.6
531,ffffffff,1,14.52,-68.61
532,ffffffff,1,-53.7,-76.77
533,ffffffff,1,48.43,-6.7
534,ffffffff,1,34.42,-49.2
535,ffffffff,1,-79.3,-73.37
536,ffffffff,1,47.36,-10.93
537,ffffffff,1,-97.77,-66.33
538,ffffffff,1,47.42,-10.24
539,ffffffff,1,14.12,-68.05
540,ffffffff,1,48.28,-6.21
541,ffffffff,1,-100.7,-64.28
542,ffffffff,1,50.16,1.65
543,ffffffff,1,44.6,-20.64
544,ffffffff,1,41.36,-31.4
545,ffffffff,1,37.45,-41.2
546,ffffffff,1,37.45,-41.2
547,ffffffff,1,-0.42,-72.52
548,ffffffff,1,51.23,6.55
549,ffffffff,1,28.36,-56.18
550,ffffffff,1,-119.96,-36.63
551,ffffffff,1,44.28,-20.59
552,ffffffff,1,43.25,-24.03
553,ffffffff,1,37.76,-39.68
554,ffffffff,1,-78.35,-72.71
555,ffffffff,1,-94.35,-67.22
556,ffffffff,1,43.09,-23.84
557,ffffffff,1,43.04,-23.85
558,ffffffff,1,-87.17,-69.99
559,ffffffff,1,38.52,-36.96
560,ffffffff,1,26.33,-57.13
561,ffffffff,1,49.2,-0.14
562,ffffffff,1,43.97,-19.48
563,ffffffff,1,35.66,-42.3
564,ffffffff,1,39.6,-32.81
565,ffffffff,1,-19.22,-74.52
566,ffffffff,1,-100.88,-62.67
567,ffffffff,1,49.84,2.71
568,ffffffff,1,45.94,-12.21
569,ffffffff,1,37.96,-36.8
570,ffffffff,1,-113.93,-48.35
571,ffffffff,1,-109.48,-54.55
572,ffffffff,1,53.24,15.58
573,ffffffff,1,-100.76,-62.45
574,ffffffff,1,-94.84,-66
575,ffffffff,1,51.31,8.83
576,ffffffff,1,-59.29,-74.36
577,ffffffff,1,36.45,-39.07
578,ffffffff,1,32.18,-47.26
579,ffffffff,1,52.05,11.68
580,ffffffff,1,51.62,10.31
581,ffffffff,1,52.94,15
582,ffffffff,1,25.67,-55.53
583,ffffffff,1,-14.6,-73.19
584,ffffffff,1,-112.2,-50.3
585,ffffffff,1,-15.47,-73.25
586,ffffffff,1,49.58,3.07
587,ffffffff,1,12.6,-65.25
588,ffffffff,1,-84.25,-69.6
589,ffffffff,1,49.43,2.59
590,ffffffff,1,46.81,-6.97
591,ffffffff,1,-109.45,-53.76
592,ffffffff,1,52.56,13.9
593,ffffffff,1,-118.84,-38.26
594,ffffffff,1,-47.66,-74.42
595,ffffffff,1,24.65,-55.6
596,ffffffff,1,24.65,-55.6
597,ffffffff,1,54.01,18.89
598,ffffffff,1,49.46,3.32
599,ffffffff,1,40.29,-27.25
600,ffffffff,1,-112.34,-49.64
601,ffffffff,1,31.81,-45.88
602,ffffffff,1,-88.87,-67.48
603,ffffffff,1,43.04,-18.56
604,ffffffff,1,43.03,-18.56
605,ffffffff,1,37.39,-34.16
606,ffffffff,1,-46.33,-74.19
607,ffffffff,1,21.82,-57.75
608,ffffffff,1,-1.14,-69.6
609,ffffffff,1,33.97,-41.35
610,ffffffff,1,21.12,-58.07
611,ffffffff,1,17.09,-61.23
612,ffffffff,1,-44.89,-73.78
613,ffffffff,1,35.22,-37.02
614,ffffffff,1,27.33,-50.26
615,ffffffff,1,36.48,-34.14
616,ffffffff,1,20.42,-57.4
617,ffffffff,1,35.43,-36.2
618,ffffffff,1,47.08,-2.94
619,ffffffff,1,42.86,-16.27
620,ffffffff,1,40.69,-22.55
621,ffffffff,1,45.52,-7.25
622,ffffffff,1,39.45,-25.2
623,ffffffff,1,35.92,-33.71
624,ffffffff,1,31.77,-41.79
625,ffffffff,1,-9.29,-69.87
626,ffffffff,1,51.42,12.06
627,ffffffff,1,46.49,-3.57
628,ffffffff,1,40.62,-21.28
629,ffffffff,1,40.62,-21.28
630,ffffffff,1,-28.31,-72.2
631,ffffffff,1,32.6,-39.58
632,ffffffff,1,-84.22,-67.31
633,ffffffff,1,35.47,-33.57
634,ffffffff,1,37.73,-28.32
635,ffffffff,1,25.8,-49.39
636,ffffffff,1,-84.54,-66.99
637,ffffffff,1,-95.99,-61.97
638,ffffffff,1,5.46,-64.57
639,ffffffff,1,16.48,-58.23
640,ffffffff,1,48.92,4.98
641,ffffffff,1,46.5,-2.61
642,ffffffff,1,37.02,-29.4
643,ffffffff,1,41.96,-16.23
644,ffffffff,1,34.31,-35.09
645,ffffffff,1,44.15,-9.73
646,ffffffff,1,32.86,-37.81
647,ffffffff,1,42.9,-13.1
648,ffffffff,1,29.6,-43.2
649,ffffffff,1,25.45,-48.95
650,ffffffff,1,15.4,-58.52
651,ffffffff,1,-19.11,-70.43
652,ffffffff,1,-49.19,-71.84
653,ffffffff,1,42.7,-12.69
654,ffffffff,1,45.62,-3.91
655,ffffffff,1,37.45,-26.27
656,ffffffff,1,34.26,-33.33
657,ffffffff,1,33.93,-34.01
658,ffffffff,1,4.79,-63.45
659,ffffffff,1,-77.7,-67.91
660,ffffffff,1,37.57,-25.39
661,ffffffff,1,45.75,-3.06
662,ffffffff,1,45.61,-3.42
663,ffffffff,1,41.22,-15.9
664,ffffffff,1,37.35,-25.71
665,ffffffff,1,32.95,-35.06
666,ffffffff,1,8.73,-60.99
667,ffffffff,1,-111.57,-47.42
668,ffffffff,1,47.64,3.1
669,ffffffff,1,30.73,-38.5
670,ffffffff,1,42.01,-12.91
671,ffffffff,1,41.71,-13.77
672,ffffffff,1,17.8,-54.38
673,ffffffff,1,42.54,-11.42
674,ffffffff,1,-95.35,-60.82
675,ffffffff,1,34.78,-30.41
676,ffffffff,1,32.2,-35.44
677,ffffffff,1,39.21,-19.96
678,ffffffff,1,-111.35,-47.45
679,ffffffff,1,41.76,-12.89
680,ffffffff,1,35.21,-28.89
681,ffffffff,1,12.25,-57.98
682,ffffffff,1,42.71,-10.21
683,ffffffff,1,-34.47,-70.41
684,ffffffff,1,10.45,-58.98
685,ffffffff,1,44.49,-4.79
686,ffffffff,1,-77.92,-66.77
687,ffffffff,1,39.2,-18.28
688,ffffffff,1,-100.1,-57.09
689,ffffffff,1,15.05,-54.92
690,ffffffff,1,44.13,-5.17
691,ffffffff,1,13.6,-55.9
692,ffffffff,1,0.22,-63.15
693,ffffffff,1,-13.3,-67.06
694,ffffffff,1,42.14,-10.15
695,ffffffff,1,-28.85,-69.21
696,ffffffff,1,44.38,-3.93
697,ffffffff,1,-15.13,-67.2
698,ffffffff,1,-80.03,-65.6
699,ffffffff,1,42.05,-9.83
700,ffffffff,1,-67.15,-68.09
701,ffffffff,1,-93.28,-60.44
702,ffffffff,1,22.97,-45.99
703,ffffffff,1,-34.69,-69.2
704,ffffffff,1,10.47,-56.93
705,ffffffff,1,-111.25,-46.37
706,ffffffff,1,-74.5,-66.45
707,ffffffff,1,47.88,6.29
708,ffffffff,1,-3.75,-63.35
709,ffffffff,1,41.82,-9.42
710,ffffffff,1,-9.53,-65.08
711,ffffffff,1,32.09,-31.18
712,ffffffff,1,34.28,-26.79
713,ffffffff,1,-20.01,-67.12
714,ffffffff,1,-103.79,-53.2
715,ffffffff,1,-114.47,-41.95
716,ffffffff,1,43.45,-4.72
717,ffffffff,1,33.14,-28.67
718,ffffffff,1,20.31,-47.39
719,ffffffff,1,14.58,-52.76
720,ffffffff,1,33.11,-28.37
721,ffffffff,1,-87.12,-62.24
722,ffffffff,1,-109.17,-48.04
723,ffffffff,1,29.76,-34.16
724,ffffffff,1,-56.68,-68.2
725,ffffffff,1,20.74,-46.27
726,ffffffff,1,34.6,-24.69
727,ffffffff,1,-49.36,-68.46
728,ffffffff,1,30.38,-32.45
729,ffffffff,1,27.37,-37.23
730,ffffffff,1,-27.1,-67.27
731,ffffffff,1,25.99,-39.09
732,ffffffff,1,11.92,-53.68
